,stamp,walk,mu_x,mu_y,mu_z,mu_rms,sigma_x,sigma_y,sigma_z,sigma_rms,speed
7857,1526566969.01,298-2,-231.06,34.06,245.23,196.80779439067297,37.47634453892214,25.30052173375087,28.958195731087944,21.368249041009275,0.7217996258
7858,1531322121.01,181-2,-324.79,-66.11,5.63,192.39143267834865,68.20649455880285,26.29558708224633,28.93117868321303,40.93889713511012,0.7218039951
7859,1531322187.01,181-2,-334.93,-46.71,33.29,197.7541920225815,43.46107568848246,25.082382263254022,36.26549186209943,25.698045402247722,0.7218368948
7860,1525943560.01,314-2,-319.1,19.03,105.66,196.31170571873992,31.561527212731644,35.88187704120285,31.935315874435936,18.61569761783924,0.7219111647
7861,1527698907.01,915-2,-333.27,-25.12,17.29,193.260823470077,2.8665484471747575,5.582615874301225,4.3824536506391025,1.6535149433114185,0.721987743
7862,1526488300.01,161-3,-343.02,-13.42,-11.43,201.47606854356565,47.48599372446574,40.720800581521,48.168922553862465,28.454591970865565,0.7220227428
7863,1526488311.01,161-3,-326.55,-31.51,-29.36,191.81307542669555,35.20493573350191,32.62345628531716,28.77134685759428,20.36739458103311,0.7220530926
7864,1525796114.01,78-2,-283.05,-10.33,186.99,197.78864994078936,43.7038613854657,29.840594833213366,24.91043757142777,20.40620709326589,0.7220631756
7865,1531322329.01,181-2,-337.13,-53.7,27.03,199.06179815122897,40.0955496283565,22.232183878332783,34.03834749220355,23.485325562984308,0.7221476892
7866,1528363717.01,806-2,-329.88,31.69,9.7,195.21228343447433,58.63860162043429,38.97709455564896,57.67867890304007,35.96379285195697,0.7221822827
7867,1527095508.01,491-2,-315.28,7.98,95.19,192.29657675897928,52.60058554807159,30.8437935410027,37.08144954016765,29.919724265295887,0.7223677797
7868,1527698240.01,915-1,-332.3,7.46,77.78,199.3495538108993,58.67137291729247,28.593852486155136,37.97303780315713,31.674522812433715,0.7223908975
7869,1527094712.01,491-1,-321.3,-33.27,109.06,200.27291050795145,72.19065036415728,47.82381310602491,45.63503478688276,42.77115051847522,0.7225236668
7870,1528365227.01,988-2,-293.96,-52.77,136.16,191.50458059830962,53.699891992442595,24.186299841025704,44.34855578257312,32.40440725990129,0.7225675893
7871,1530262136.01,527-2,-327.4,0.38,95.52,197.49039033569338,22.89366724664268,21.259247399661167,16.101229766697948,13.452845735710012,0.7225767483
7872,1526565681.01,298-1,-251.95,-34.82,224.07,198.92498323592838,61.86248863406645,32.77510640714993,61.52970908431144,40.29984753385887,0.7225796573
7873,1530262134.01,527-2,-319.71,21.23,120.25,198.82567645886306,27.087375288130072,30.530592853726237,27.23871325888945,17.683336242789295,0.7226591984
7874,1526565638.01,298-1,-250.32,-34.66,224.68,197.6562025598544,60.06544430868716,35.22618912116382,51.562753999374394,39.35334280106108,0.7226611309
7875,1525941657.01,145-2,-228.85,-5.27,253.52,199.21000105580052,47.75465945852822,27.130003685956254,38.27021818594716,26.45604176770627,0.7226868338
7876,1525795280.01,78-1,-286.81,-37.51,186.16,201.90978822278484,63.19188159882565,36.393816782525015,45.832678298349535,33.853568297845094,0.722755046
7877,1525945991.01,390-1,-325.4,-29.73,59.08,193.011678267496,27.564107096004406,20.971816802556713,32.72206594944763,16.013391865288845,0.7227963834
7878,1530257259.01,481-2,-331.62,-39.25,-64.38,197.38816188107262,34.98736343310254,22.270776816267546,31.430170219074537,22.202632333685788,0.7228183746
7879,1526487651.01,161-2,-325.2,-76.18,-5.91,194.82972838623334,66.51992182797571,44.054597943915,26.348091012443387,39.90580914620305,0.7228205062
7880,1525278290.01,733-2,-272.68,80.6,189.73,199.95244275908067,41.417600123618946,34.326666019291764,50.63612445675517,28.065589274826277,0.7228627469
7881,1530261550.01,527-1,-303.73,-8.45,142.25,195.551715547461,36.61471152419475,34.11491609252469,34.982960137758496,22.841698997919647,0.7228809419
7882,1530257314.01,481-2,-330.1,-20.7,-51.57,194.21481787704477,26.261568879257766,23.907948469076132,24.952456792869114,16.12103750754656,0.7229125672
7883,1527095364.01,491-2,-311.28,9.68,107.11,192.90793922202084,52.6038173519755,37.42562758324835,37.981283548611145,28.46922874110177,0.7229679086
7884,1525946669.01,390-2,-334.73,-4.61,72.0,198.77996501879687,25.749895145417586,23.137370204930374,25.61796244825103,13.707376619635312,0.7229770912
7885,1525941753.01,145-2,-195.09,-0.27,275.48,195.70682093022185,14.42712376047284,25.220172481567207,14.158022460781732,5.494868034757823,0.7230350641
7886,1527699082.01,915-2,-332.8,12.43,36.14,195.81105442554687,51.97191549288904,25.98740271747064,42.20332214411562,27.976674178480977,0.7230621132
7887,1526565551.01,298-1,-264.01,-19.59,215.26,198.34785087682295,33.87284900919909,20.78369312706479,35.953197354338315,20.561048592235387,0.7231677235
7888,1531321865.01,181-2,-326.66,-48.21,41.88,193.13059246351443,39.11578198119015,20.9410100042954,26.257676972649357,22.69106111868492,0.7231905901
7889,1525943474.01,314-2,-305.9,14.04,119.97,191.7800720296548,43.725393079994134,33.53562881473971,31.551055449857774,24.886153559098563,0.723334376
7890,1525941518.01,145-2,-233.05,-2.13,246.68,198.043680181167,52.365518234807915,22.300517931205093,40.878816029821614,28.36959769952724,0.7233467395
7891,1530256205.01,481-1,-335.24,28.29,-19.17,196.00656396059875,44.4677681023008,25.040884569040294,32.33853892803447,25.483070544180826,0.7233952077
7892,1526565757.01,298-1,-259.42,-27.25,212.66,194.54283293971733,9.510184015044082,12.12219039612891,9.099692302490237,3.87420767675056,0.7234231389
7893,1527698255.01,915-1,-333.36,2.72,62.09,197.66726315462935,41.58690178409542,24.49656302422851,35.98196631647582,21.592199446988495,0.7234304396
7894,1527095448.01,491-2,-311.66,2.8,91.85,191.0875958244839,54.32885421210354,48.94384537406108,44.24169413573579,33.352971711958126,0.723668508
7895,1531322183.01,181-2,-337.08,-46.22,30.54,198.72655813640336,35.65969152979313,25.862552078246253,33.024360705394436,20.381897799894876,0.7237003196
7896,1525941364.01,145-2,-255.88,-1.98,221.73,197.67092783211348,52.63008265241468,30.48638384590734,58.40288605882419,38.86533532585826,0.7237149904
7897,1527699256.01,915-2,-335.91,-5.72,43.39,198.2003895041463,58.00415416157709,33.511216032844885,38.86666823899368,31.085134717493247,0.7237903123
7898,1530256239.01,481-1,-339.38,37.71,-7.77,198.67147975809286,56.016208368649885,21.590875387533508,36.09428071038402,32.439222104262655,0.7238105029
7899,1525941735.01,145-2,-237.27,-3.36,231.67,193.5492773994708,45.62320791001001,31.354591370324066,43.0244244586723,28.931249854486197,0.7238409735
7900,1527699027.01,915-2,-342.93,-6.22,21.62,200.03861869773692,44.98961102299063,30.768353872119963,31.799616349886993,26.094208096204564,0.7238683166
7901,1526567028.01,298-2,-217.05,29.79,263.22,199.9522328292216,52.57725268592874,28.217120689397063,49.33144636030856,33.3386350441756,0.7239892869
7902,1525946612.01,390-2,-327.53,-26.04,57.93,193.38894933621523,19.91102960672802,18.316069447345956,22.427775190597934,10.753957781585484,0.7239946083
7903,1527700918.01,52-2,-317.94,-8.3,104.04,194.18778463361957,31.313198495203267,30.930405752269063,14.953207013881666,18.377276704859387,0.7240080392
7904,1528368040.01,863-1,-294.87,18.79,181.36,202.8939155436707,53.925996513740934,36.65850378834357,48.88159571863422,33.34804894879377,0.7240882574
7905,1525941748.01,145-2,-242.84,-5.88,238.35,198.19444847615912,37.89451675374684,31.552584680181127,40.7716506901548,26.250916045562068,0.7241593595
7906,1525946580.01,390-2,-333.98,-30.44,23.74,194.75279657344913,22.604415497862362,18.982265407479694,19.761892621912512,13.021580555142151,0.7241679965
7907,1530259622.01,290-2,-333.63,53.96,52.53,201.2403138094429,35.04472998897266,34.92876178738662,59.78151135593679,22.428020373563605,0.7242495152
7908,1525277070.01,733-1,-265.6,50.75,192.45,193.63607766915652,32.43886557819185,34.565409009586446,40.53304207680448,22.811607240709392,0.7242846149
7909,1528363758.01,806-2,-325.84,42.95,-3.58,193.22580893072995,55.638785033463854,47.218508023867095,46.884577421578626,34.37057990585865,0.7243433982
7910,1527700920.01,52-2,-317.85,-12.07,124.28,199.2453084052826,42.58060004274247,35.787219785839746,34.41571733961098,24.508646334517664,0.7243556906
7911,1528363718.01,806-2,-340.31,31.97,23.52,201.901052726508,71.46477383998358,44.51436959005485,61.67324865774462,44.67062690323251,0.7244077387
7912,1530257311.01,481-2,-329.19,-34.37,-64.3,195.65871960976355,29.27309173968475,21.700071428453878,27.980886333352622,17.75365053544166,0.7244455305
7913,1525278415.01,733-2,-277.07,72.49,177.28,196.6109671297616,40.1856330048439,29.721875781989265,42.41322435278882,24.36064321057981,0.7244766252
7914,1526488354.01,161-3,-335.7,-49.91,-16.08,198.3896240644304,45.89564249468571,35.9182669403745,34.37431599319469,25.474570266063605,0.7245918266
7915,1527094554.01,491-1,-324.59,-53.3,66.69,193.89480392284776,5.784626176340176,9.842255838983256,6.587404648266268,3.4280721093765623,0.7246490775
7916,1527185461.01,339-2,-332.38,-47.77,-5.27,195.4416546489383,35.48260982509601,21.975374854595763,33.980245731895465,19.06549137626466,0.724693394
7917,1527698242.01,915-1,-332.07,1.56,61.03,196.5413375535071,42.01648605012084,28.58402350964608,31.789134936326903,23.840217406971707,0.7248544691
7918,1531322033.01,181-2,-333.41,-47.24,39.84,197.4195933501404,42.84252443542513,34.098128980927974,28.77593438969446,25.058614516074375,0.7248589078
7919,1527095467.01,491-2,-312.97,4.34,104.89,193.6975558295183,49.70743505754446,41.70688672149961,42.91244458196247,28.673510406016664,0.7249034807
7920,1525941659.01,145-2,-227.21,6.4,240.31,192.79009064852158,37.486076081659974,28.35595175620103,39.185889041847716,23.487463629238214,0.7249142037
7921,1530262185.01,527-2,-330.07,-18.72,77.93,196.83353113165683,22.9382889510094,22.640706702751128,16.270374918851743,12.15048787400876,0.7249860058
7922,1527094730.01,491-1,-316.29,-54.58,82.09,193.86693214031243,47.45762214860748,41.88727252997025,34.59453569568464,27.126234948910998,0.724992192
7923,1530262172.01,527-2,-335.38,-3.6,80.33,201.02431918682433,45.023944740548885,32.08613407688748,37.77037331030763,27.058943601093528,0.7249953652
